mobilename,rating,price,details
"SAMSUNG Galaxy S22 5G (Phantom White, 256 GB)  (8 GB RAM)",4.3,"₹63,499",8 GB RAM | 256 GB ROM
"SAMSUNG Galaxy S20 FE (Cloud Red, 128 GB)  (8 GB RAM)",4,"₹53,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy S23 Ultra 5G (Green, 512 GB)  (12 GB RAM)",4.5,"₹1,34,999",12 GB RAM | 512 GB ROM
"SAMSUNG Galaxy S21 FE 5G (Olive Green, 256 GB)  (8 GB RAM)",4.3,"₹49,999",8 GB RAM | 256 GB ROM
"SAMSUNG Galaxy M12 (Blue, 64 GB)  (4 GB RAM)",4.2,"₹13,000",4 GB RAM | 64 GB ROM
"SAMSUNG Galaxy S22 5G (Phantom Black, 128 GB)  (8 GB RAM)",4.3,"₹64,990",8 GB RAM | 128 GB ROM
"SAMSUNG Galaxy S21 FE 5G (Navy, 256 GB)  (8 GB RAM)",4.3,"₹49,999",8 GB RAM | 256 GB ROM
"SAMSUNG Galaxy A03 (Red, 32 GB)  (3 GB RAM)",4.1,"₹10,500",3 GB RAM | 32 GB ROM
"SAMSUNG Galaxy Note 20 (Mystic Green, 256 GB)  (8 GB RAM)",4.2,"₹86,000",8 GB RAM | 256 GB ROM
"SAMSUNG Galaxy Z Flip4 5G (Bora Purple, 256 GB)  (8 GB RAM)",3.7,"₹93,999",8 GB RAM | 256 GB ROM
"SAMSUNG A52s 5G (Awesome Black, 128 GB)  (6 GB RAM)",4.1,"₹38,999",6 GB RAM | 128 GB ROM
"SAMSUNG Galaxy S23 Ultra 5G (Cream, 512 GB)  (12 GB RAM)",4.5,"₹1,34,999",12 GB RAM | 512 GB ROM
"SAMSUNG Galaxy A22 (Black, 128 GB)  (6 GB RAM)",4.2,"₹18,450",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy S23 Plus 5G (Phantom Black, 512 GB)  (8 GB RAM)",4.5,"₹1,04,999",8 GB RAM | 512 GB ROM
SAMSUNG Metro 313  (Black),4.1,"₹2,399",4 MB RAM | 2.27 MB ROM
"SAMSUNG Galaxy S21 FE 5G (Lavender, 256 GB)  (8 GB RAM)",4.3,"₹49,999",8 GB RAM | 256 GB ROM
"SAMSUNG Galaxy Z Fold4 5G (Phantom Black, 512 GB)  (12 GB RAM)",2.9,"₹1,64,999",12 GB RAM | 512 GB ROM
"SAMSUNG Galaxy A50 (Black, 64 GB)  (6 GB RAM)",4.4,"₹24,000",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"SAMSUNG Galaxy S22 5G (Phantom White, 256 GB)  (8 GB RAM)",4.3,"₹63,499",8 GB RAM | 256 GB ROM
"SAMSUNG Galaxy S20 FE (Cloud Red, 128 GB)  (8 GB RAM)",4,"₹53,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy S23 Ultra 5G (Green, 512 GB)  (12 GB RAM)",4.5,"₹1,34,999",12 GB RAM | 512 GB ROM
"SAMSUNG Galaxy S21 FE 5G (Olive Green, 256 GB)  (8 GB RAM)",4.3,"₹49,999",8 GB RAM | 256 GB ROM
"SAMSUNG Galaxy M12 (Blue, 64 GB)  (4 GB RAM)",4.2,"₹13,000",4 GB RAM | 64 GB ROM
